,Never,Mon1_2,Wek1_2,Wek3_4,Daily
Men,,,,,
N,8508,3522,5928,5563,15865
Person year,135704,56551,97098,92153,252364
Total Stroke,,,,,
n,326,122,181,177,546
Crude model,1,"0.89 (0.73, 1.11)","0.77 (0.64, 0.92)","0.79 (0.66, 0.95)","0.90 (0.79, 1.04)"
Age-adjusted ,1,"0.99 (0.80, 1.22)","0.84 (0.70, 1.01)","0.86 (0.72, 1.03)","0.76 (0.66, 0.87)"
Multivariable-adjusted,1,"1.03 (0.83, 1.27)","0.91 (0.75, 1.09)","0.96 (0.79, 1.16)","0.87 (0.76, 1.01)"
Hemorrhagic stroke,,,,,
n,100,42,58,56,176
Crude model,1,"1.00 (0.70, 1.44)","0.81 (0.58, 1.11)","0.82 (0.59, 1.14)","0.94 (0.74, 1.21)"
Age-adjusted ,1,"1.07 (0.75, 1.55)","0.86 (0.62, 1.19)","0.87 (0.63, 1.21)","0.85 (0.66, 1.08)"
Multivariable-adjusted,1,"1.11 (0.77, 1.60)","0.94 (0.68, 1.31)","1.01 (0.72, 1.40)","0.98 (0.76, 1.27)"
Ischemic stroke,,,,,
n,151,41,64,66,198
Crude model,1,0.65 (0.46. 0.92),"0.59 (0.44, 0.79)","0.63 (0.48, 0.85)","0.71 (0.57, 0.88)"
Age-adjusted ,1,"0.73 (0.52, 1.03)","0.65 (0.49, 0.87)","0.70 (0.53, 0.94)","0.58 (0.47, 0.72)"
Multivariable-adjusted,1,"0.73 (0.51, 1.04)","0.67 (0.49, 0.90)","0.74 (0.55, 0.99)","0.63 (0.50, 0.79)"
Women,,,,,
N,10407,3640,7590,8108,25254
Person year,173222,59904,129233,139919,418925
Total Stroke,,,,,
n,300,84,182,172,585
Crude model,1,"0.83 (0.65, 1.05)","0.81 (0.67, 0.97)","0.69 (0.58, 0.84)","0.81 (0.71, 0.93)"
Age-adjusted ,1,"1.01 (0.79, 1.28)","1.07 (0.89, 1.28)","0.94 (0.78, 1.13)","0.88 (0.77, 1.01)"
Multivariable-adjusted,1,"1.05 (0.82, 1.34)","1.12 (0.93, 1.35)","1.01 (0.83, 1.22)","0.99 (0.86, 1.15)"
Hemorrhagic stroke,,,,,
n,108,27,78,76,231
Crude model,1,"0.73 (0.48, 1.12)","0.96 (0.72, 1.29)","0.86 (0.64, 1.16)","0.89 (0.71, 1.12)"
Age-adjusted ,1,"0.83 (0.54, 1.26)","1.16 (0.86, 1.55)","1.04 (0.77, 1.39)","0.92 (0.73, 1.15)"
Multivariable-adjusted,1,"0.85 (0.56, 1.30)","1.21 (0.90, 1.62)","1.13 (0.84, 1.52)","1.03 (0.81, 1.29)"
Ischemic stroke,,,,,
n,102,35,63,50,187
Crude model,1,"1.01 (0.69, 1.48)","0.82 (0.60, 1.13)","0.59 (0.43, 0.84)","0.76 (0.59, 0.97)"
Age-adjusted ,1,"1.29 (0.88, 1.89)","1.15 (0.84, 1.58)","0.86 (0.61, 1.20)","0.86 (0.67, 1.09)"
Multivariable-adjusted,1,"1.30 (0.88, 1.92)","1.18 (0.86, 1.63)","0.87 (0.62, 1.23)","0.93 (0.72, 1.19)"
