,Never,Drinker,Mon1_2,Wek1_2,Wek3_4,Daily,p
n,8508,30878,3522,5928,5563,15865,
Age (mean (SD)),56.80 (9.97),56.78 (10.15),55.18 (10.14),55.42 (10.10),55.43 (9.95),58.12 (10.07),<0.001
Smoking (%), ,, , , ,,<0.001
   Never, 1384 (16.3) , 6479 (21.0) ,  652 (18.5) , 1091 (18.4) , 1141 (20.5) , 3595 (22.7) ,
   Past, 1836 (21.6) , 7729 (25.0) ,  730 (20.7) , 1298 (21.9) , 1335 (24.0) , 4366 (27.5) ,
   Current, 4996 (58.7) ,15386 (49.8) , 2020 (57.4) , 3313 (55.9) , 2845 (51.1) , 7208 (45.4) ,
Alc_Fre (%), ,, , , ,,<0.001
   < 1/week,  355 ( 4.2) , 1469 ( 4.8) ,  130 ( 3.7) ,  273 ( 4.6) ,  301 ( 5.4) ,  765 ( 4.8) ,
   1-4 /week, 1105 (13.0) , 5316 (17.2) ,  597 (17.0) , 1056 (17.8) , 1033 (18.6) , 2630 (16.6) ,
   Daily, 4416 (51.9) ,14746 (47.8) , 1793 (50.9) , 2871 (48.4) , 2706 (48.6) , 7376 (46.5) ,
   Never or past, 2028 (23.8) , 7060 (22.9) ,  727 (20.6) , 1257 (21.2) , 1120 (20.1) , 3956 (24.9) ,
BMI (mean (SD)),22.58 (3.41),22.71 (3.41),22.76 (2.75),22.76 (2.82),22.91 (5.44),22.61 (2.75),<0.001
BMIgrp (%), ,, , , ,,<0.001
   18.5-24.9, 6099 (71.7) ,22591 (73.2) , 2562 (72.7) , 4313 (72.8) , 4042 (72.7) ,11674 (73.6) ,
   < 18.5,  505 ( 5.9) , 1446 ( 4.7) ,  152 ( 4.3) ,  266 ( 4.5) ,  213 ( 3.8) ,  815 ( 5.1) ,
   25-29.9, 1404 (16.5) , 5246 (17.0) ,  612 (17.4) , 1082 (18.3) ,  988 (17.8) , 2564 (16.2) ,
   > 30,   90 ( 1.1) ,  296 ( 1.0) ,   38 ( 1.1) ,   54 ( 0.9) ,   63 ( 1.1) ,  141 ( 0.9) ,
Exercise (%), ,, , , ,,<0.001
   Almost0, 5009 (58.9) ,17232 (55.8) , 2274 (64.6) , 3316 (55.9) , 2954 (53.1) , 8688 (54.8) ,
   > 1h/w, 1618 (19.0) , 8509 (27.6) ,  934 (26.5) , 1482 (25.0) , 1418 (25.5) , 4675 (29.5) ,
Slepgrp (%), ,, , , ,,<0.001
   < 6.9, 1502 (17.7) , 5274 (17.1) ,  582 (16.5) , 1036 (17.5) ,  948 (17.0) , 2708 (17.1) ,
   7-7.9, 2559 (30.1) , 9953 (32.2) , 1182 (33.6) , 1891 (31.9) , 1802 (32.4) , 5078 (32.0) ,
   8-8.9, 3026 (35.6) ,11074 (35.9) , 1217 (34.6) , 2143 (36.2) , 1953 (35.1) , 5761 (36.3) ,
   > 9, 1113 (13.1) , 3102 (10.0) ,  374 (10.6) ,  581 ( 9.8) ,  553 ( 9.9) , 1594 (10.0) ,
Veg (%), ,, , , ,,<0.001
   Less1tm, 1002 (11.8) , 2556 ( 8.3) ,  556 (15.8) ,  508 ( 8.6) ,  362 ( 6.5) , 1130 ( 7.1) ,
   One2tw, 2198 (25.8) , 7915 (25.6) , 1118 (31.7) , 1828 (30.8) , 1280 (23.0) , 3689 (23.3) ,
   Thre4tw, 1787 (21.0) , 7791 (25.2) ,  871 (24.7) , 1333 (22.5) , 1582 (28.4) , 4005 (25.2) ,
   daily, 1810 (21.3) , 7844 (25.4) ,  709 (20.1) , 1209 (20.4) , 1158 (20.8) , 4768 (30.1) ,
Fruit (%), ,, , , ,,<0.001
   Less1tm, 1888 (22.2) , 4007 (13.0) ,  786 (22.3) ,  810 (13.7) ,  618 (11.1) , 1793 (11.3) ,
   One2tw, 1877 (22.1) , 6691 (21.7) ,  999 (28.4) , 1581 (26.7) , 1099 (19.8) , 3012 (19.0) ,
   Thre4tw, 1376 (16.2) , 6120 (19.8) ,  695 (19.7) , 1122 (18.9) , 1271 (22.8) , 3032 (19.1) ,
   daily, 1260 (14.8) , 6924 (22.4) ,  542 (15.4) ,  968 (16.3) ,  961 (17.3) , 4453 (28.1) ,
Greentea (%), ,, , , ,,<0.001
   daily, 6508 (76.5) ,24444 (79.2) , 2814 (79.9) , 4641 (78.3) , 4332 (77.9) ,12657 (79.8) ,
   Thre3tw,  737 ( 8.7) , 2926 ( 9.5) ,  378 (10.7) ,  588 ( 9.9) ,  562 (10.1) , 1398 ( 8.8) ,
   Never,  659 ( 7.7) , 1748 ( 5.7) ,  184 ( 5.2) ,  327 ( 5.5) ,  299 ( 5.4) ,  938 ( 5.9) ,
Coffe (%), ,, , , ,,<0.001
   daily, 3727 (43.8) ,15662 (50.7) , 1780 (50.5) , 2845 (48.0) , 2642 (47.5) , 8395 (52.9) ,
   Thre3tw, 2267 (26.6) , 8511 (27.6) ,  998 (28.3) , 1822 (30.7) , 1774 (31.9) , 3917 (24.7) ,
   Never, 2299 (27.0) , 6006 (19.5) ,  700 (19.9) , 1123 (18.9) ,  983 (17.7) , 3200 (20.2) ,
Educgrp (%), ,, , , ,,<0.001
   >= 18 y.o, 2168 (25.5) ,10701 (34.7) , 1190 (33.8) , 1973 (33.3) , 1726 (31.0) , 5812 (36.6) ,
DM_hist (%), ,, , , ,,<0.001
   TRUE,  423 ( 5.0) , 1942 ( 6.3) ,  160 ( 4.5) ,  250 ( 4.2) ,  304 ( 5.5) , 1228 ( 7.7) ,
HT_hist (%), ,, , , ,,0.039
   TRUE, 1568 (18.4) , 5526 (17.9) ,  616 (17.5) , 1013 (17.1) ,  937 (16.8) , 2960 (18.7) ,
KID_hist (%), ,, , , ,,<0.001
   TRUE,  257 ( 3.0) , 1038 ( 3.4) ,  135 ( 3.8) ,  178 ( 3.0) ,  168 ( 3.0) ,  557 ( 3.5) ,
LIV_hist (%), ,, , , ,,<0.001
   TRUE,  495 ( 5.8) , 2016 ( 6.5) ,  223 ( 6.3) ,  356 ( 6.0) ,  300 ( 5.4) , 1137 ( 7.2) ,
