"","Never","Drinker","p","test"
"n"," 8508","30878","",""
"Age (mean (SD))","56.80 (9.97)","56.78 (10.15)"," 0.865",""
"Smoking (%)"," ","","<0.001",""
"   Never"," 1384 (16.3) "," 6479 (21.0) ","",""
"   Past"," 1836 (21.6) "," 7729 (25.0) ","",""
"   Current"," 4996 (58.7) ","15386 (49.8) ","",""
"   unknown","  292 ( 3.4) "," 1284 ( 4.2) ","",""
"Alc_Fre (%)"," ","","<0.001",""
"   < 1/week","  355 ( 4.2) "," 1469 ( 4.8) ","",""
"   1-4 /week"," 1105 (13.0) "," 5316 (17.2) ","",""
"   Daily"," 4416 (51.9) ","14746 (47.8) ","",""
"   Never or past"," 2028 (23.8) "," 7060 (22.9) ","",""
"   unknown","  604 ( 7.1) "," 2287 ( 7.4) ","",""
"BMI (mean (SD))","22.58 (3.41)","22.71 (3.41)"," 0.002",""
"BMIgrp (%)"," ","","<0.001",""
"   [18.5,25)"," 6099 (71.7) ","22591 (73.2) ","",""
"   [14,18.5)","  505 ( 5.9) "," 1446 ( 4.7) ","",""
"   [25,30)"," 1404 (16.5) "," 5246 (17.0) ","",""
"   [30,40)","   90 ( 1.1) ","  296 ( 1.0) ","",""
"   unknown","  410 ( 4.8) "," 1299 ( 4.2) ","",""
"Exercise (%)"," ","","<0.001",""
"   Almost0"," 5009 (58.9) ","17232 (55.8) ","",""
"   > 1h/w"," 1618 (19.0) "," 8509 (27.6) ","",""
"   unknown"," 1881 (22.1) "," 5137 (16.6) ","",""
"Slepgrp (%)"," ","","<0.001",""
"   [0,6.9)"," 1502 (17.7) "," 5274 (17.1) ","",""
"   [6.9,7.9)"," 2559 (30.1) "," 9953 (32.2) ","",""
"   [7.9,8.9)"," 3026 (35.6) ","11074 (35.9) ","",""
"   [8.9,23)"," 1113 (13.1) "," 3102 (10.0) ","",""
"   unknown","  308 ( 3.6) "," 1475 ( 4.8) ","",""
"Spi (%)"," ","","<0.001",""
"   Less1tm"," 1002 (11.8) "," 2556 ( 8.3) ","",""
"   One2tw"," 2198 (25.8) "," 7915 (25.6) ","",""
"   Thre4tw"," 1787 (21.0) "," 7791 (25.2) ","",""
"   daily"," 1810 (21.3) "," 7844 (25.4) ","",""
"   unknown"," 1711 (20.1) "," 4772 (15.5) ","",""
"Fru (%)"," ","","<0.001",""
"   Less1tm"," 1888 (22.2) "," 4007 (13.0) ","",""
"   One2tw"," 1877 (22.1) "," 6691 (21.7) ","",""
"   Thre4tw"," 1376 (16.2) "," 6120 (19.8) ","",""
"   daily"," 1260 (14.8) "," 6924 (22.4) ","",""
"   unknown"," 2107 (24.8) "," 7136 (23.1) ","",""
"Gretea (%)"," ","","<0.001",""
"   daily"," 6508 (76.5) ","24444 (79.2) ","",""
"   Thre3tw","  737 ( 8.7) "," 2926 ( 9.5) ","",""
"   Never","  659 ( 7.7) "," 1748 ( 5.7) ","",""
"   unknown","  604 ( 7.1) "," 1760 ( 5.7) ","",""
"Cofe (%)"," ","","<0.001",""
"   daily"," 3727 (43.8) ","15662 (50.7) ","",""
"   Thre3tw"," 2267 (26.6) "," 8511 (27.6) ","",""
"   Never"," 2299 (27.0) "," 6006 (19.5) ","",""
"   unknown","  215 ( 2.5) ","  699 ( 2.3) ","",""
"Educgrp (%)"," ","","<0.001",""
"   [0,18)"," 3691 (43.4) ","12066 (39.1) ","",""
"   [18,70)"," 2168 (25.5) ","10701 (34.7) ","",""
"   unknown"," 2649 (31.1) "," 8111 (26.3) ","",""
"DM_hist (%)"," ","","<0.001",""
"   FALSE"," 7185 (84.4) ","25663 (83.1) ","",""
"   TRUE","  423 ( 5.0) "," 1942 ( 6.3) ","",""
"   unknown","  900 (10.6) "," 3273 (10.6) ","",""
"HT_hist (%)"," ",""," 0.480",""
"   FALSE"," 6188 (72.7) ","22559 (73.1) ","",""
"   TRUE"," 1568 (18.4) "," 5526 (17.9) ","",""
"   unknown","  752 ( 8.8) "," 2793 ( 9.0) ","",""
"KID_hist (%)"," ","","<0.001",""
"   FALSE"," 6187 (72.7) ","23945 (77.5) ","",""
"   TRUE","  257 ( 3.0) "," 1038 ( 3.4) ","",""
"   unknown"," 2064 (24.3) "," 5895 (19.1) ","",""
"LIV_hist (%)"," ","","<0.001",""
"   FALSE"," 5989 (70.4) ","23113 (74.9) ","",""
"   TRUE","  495 ( 5.8) "," 2016 ( 6.5) ","",""
"   unknown"," 2024 (23.8) "," 5749 (18.6) ","",""
