"","Never","Mon1_2","Wek1_2","Wek3_4","Daily","p","test"
"n"," 8508"," 3522"," 5928"," 5563","15865","",""
"Age (mean (SD))","56.80 (9.97)","55.18 (10.14)","55.42 (10.10)","55.43 (9.95)","58.12 (10.07)","<0.001",""
"Smoking (%)"," "," "," "," ","","<0.001",""
"   Never"," 1384 (16.3) ","  652 (18.5) "," 1091 (18.4) "," 1141 (20.5) "," 3595 (22.7) ","",""
"   Past"," 1836 (21.6) ","  730 (20.7) "," 1298 (21.9) "," 1335 (24.0) "," 4366 (27.5) ","",""
"   Current"," 4996 (58.7) "," 2020 (57.4) "," 3313 (55.9) "," 2845 (51.1) "," 7208 (45.4) ","",""
"   unknown","  292 ( 3.4) ","  120 ( 3.4) ","  226 ( 3.8) ","  242 ( 4.4) ","  696 ( 4.4) ","",""
"Alc_Fre (%)"," "," "," "," ","","<0.001",""
"   < 1/week","  355 ( 4.2) ","  130 ( 3.7) ","  273 ( 4.6) ","  301 ( 5.4) ","  765 ( 4.8) ","",""
"   1-4 /week"," 1105 (13.0) ","  597 (17.0) "," 1056 (17.8) "," 1033 (18.6) "," 2630 (16.6) ","",""
"   Daily"," 4416 (51.9) "," 1793 (50.9) "," 2871 (48.4) "," 2706 (48.6) "," 7376 (46.5) ","",""
"   Never or past"," 2028 (23.8) ","  727 (20.6) "," 1257 (21.2) "," 1120 (20.1) "," 3956 (24.9) ","",""
"   unknown","  604 ( 7.1) ","  275 ( 7.8) ","  471 ( 7.9) ","  403 ( 7.2) "," 1138 ( 7.2) ","",""
"BMI (mean (SD))","22.58 (3.41)","22.76 (2.75)","22.76 (2.82)","22.91 (5.44)","22.61 (2.75)","<0.001",""
"BMIgrp (%)"," "," "," "," ","","<0.001",""
"   [18.5,25)"," 6099 (71.7) "," 2562 (72.7) "," 4313 (72.8) "," 4042 (72.7) ","11674 (73.6) ","",""
"   [14,18.5)","  505 ( 5.9) ","  152 ( 4.3) ","  266 ( 4.5) ","  213 ( 3.8) ","  815 ( 5.1) ","",""
"   [25,30)"," 1404 (16.5) ","  612 (17.4) "," 1082 (18.3) ","  988 (17.8) "," 2564 (16.2) ","",""
"   [30,40)","   90 ( 1.1) ","   38 ( 1.1) ","   54 ( 0.9) ","   63 ( 1.1) ","  141 ( 0.9) ","",""
"   unknown","  410 ( 4.8) ","  158 ( 4.5) ","  213 ( 3.6) ","  257 ( 4.6) ","  671 ( 4.2) ","",""
"Exercise (%)"," "," "," "," ","","<0.001",""
"   Almost0"," 5009 (58.9) "," 2274 (64.6) "," 3316 (55.9) "," 2954 (53.1) "," 8688 (54.8) ","",""
"   > 1h/w"," 1618 (19.0) ","  934 (26.5) "," 1482 (25.0) "," 1418 (25.5) "," 4675 (29.5) ","",""
