,Never,Drinker,Mon1_2,Wek1_2,Wek3_4,Daily,p
n,10407,44592,3640,7590,8108,25254,
Age (mean (SD)),58.03 (10.17),56.97 (9.99),56.52 (10.19),55.60 (10.08),55.58 (9.89),57.90 (9.86),<0.001
Smoking (%), ,, , , ,,<0.001
   Never, 8318 (79.9) ,36978 (82.9) , 2974 (81.7) , 6219 (81.9) , 6763 (83.4) ,21022 (83.2) ,
   Past,  169 ( 1.6) ,  607 ( 1.4) ,   49 ( 1.3) ,  113 ( 1.5) ,   98 ( 1.2) ,  347 ( 1.4) ,
   Current,  723 ( 6.9) , 1860 ( 4.2) ,  222 ( 6.1) ,  420 ( 5.5) ,  346 ( 4.3) ,  872 ( 3.5) ,
Alc_Fre (%), ,, , , ,,<0.001
   < 1/week,  697 ( 6.7) , 3084 ( 6.9) ,  191 ( 5.2) ,  567 ( 7.5) ,  673 ( 8.3) , 1653 ( 6.5) ,
   1-4 /week,  837 ( 8.0) , 4611 (10.3) ,  357 ( 9.8) ,  828 (10.9) ,  918 (11.3) , 2508 ( 9.9) ,
   Daily,  450 ( 4.3) , 2021 ( 4.5) ,  200 ( 5.5) ,  325 ( 4.3) ,  338 ( 4.2) , 1158 ( 4.6) ,
   Never or past, 7449 (71.6) ,30670 (68.8) , 2562 (70.4) , 5196 (68.5) , 5416 (66.8) ,17496 (69.3) ,
BMI (mean (SD)),23.01 (3.38),22.91 (3.69),23.02 (3.80),23.07 (4.41),23.07 (3.08),22.80 (3.62),<0.001
BMIgrp (%), ,, , , ,,<0.001
   18.5-24.9, 6589 (63.3) ,30588 (68.6) , 2438 (67.0) , 5121 (67.5) , 5496 (67.8) ,17533 (69.4) ,
   < 18.5,  703 ( 6.8) , 2465 ( 5.5) ,  188 ( 5.2) ,  380 ( 5.0) ,  398 ( 4.9) , 1499 ( 5.9) ,
   25-29.9, 2173 (20.9) , 8545 (19.2) ,  756 (20.8) , 1505 (19.8) , 1678 (20.7) , 4606 (18.2) ,
   > 30,  280 ( 2.7) ,  769 ( 1.7) ,   76 ( 2.1) ,  175 ( 2.3) ,  158 ( 1.9) ,  360 ( 1.4) ,
Exercise (%), ,, , , ,,<0.001
